src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
192.168.1.221,52.167.17.97,55638,443,TCP,66,PORT_SCAN
192.168.1.221,52.123.128.14,55639,443,TCP,66,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,66,NORMAL
192.168.1.221,52.123.128.14,55639,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,233,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,54,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,1506,MALFORMED_PACKET
52.123.128.14,192.168.1.221,443,55639,TCP,1506,MALFORMED_PACKET
52.123.128.14,192.168.1.221,443,55639,TCP,1506,MALFORMED_PACKET
52.123.128.14,192.168.1.221,443,55639,TCP,1506,MALFORMED_PACKET
52.123.128.14,192.168.1.221,443,55639,TCP,219,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,212,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55638,TCP,66,NORMAL
192.168.1.221,52.167.17.97,55638,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,268,DDOS_OR_BRUTE_FORCE
151.115.57.234,192.168.1.221,8000,55419,TCP,54,NORMAL
192.168.1.221,151.115.57.234,55419,8000,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.120,224.0.0.251,5353,5353,UDP,152,NORMAL
52.123.128.14,192.168.1.221,443,55639,TCP,54,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,396,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,250,DDOS_OR_BRUTE_FORCE
192.168.1.163,224.0.0.251,5353,5353,UDP,417,NORMAL
192.168.1.163,224.0.0.251,5353,5353,UDP,402,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55638,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55638,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55638,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55638,443,TCP,212,DDOS_OR_BRUTE_FORCE
52.123.128.14,192.168.1.221,443,55639,TCP,911,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.1,56283,53,UDP,92,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55638,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55638,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,280,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,92,DDOS_OR_BRUTE_FORCE
192.168.1.1,192.168.1.221,53,56283,UDP,212,NORMAL
192.168.1.221,20.189.173.8,55640,443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.246,224.0.0.251,5353,5353,UDP,122,NORMAL
52.167.17.97,192.168.1.221,443,55638,TCP,92,NORMAL
52.167.17.97,192.168.1.221,443,55638,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,54,PORT_SCAN
20.189.173.8,192.168.1.221,443,55640,TCP,66,NORMAL
192.168.1.221,20.189.173.8,55640,443,TCP,54,PORT_SCAN
192.168.1.221,20.189.173.8,55640,443,TCP,518,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55638,TCP,409,NORMAL
192.168.1.221,52.167.17.97,55638,443,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55638,TCP,96,NORMAL
52.167.17.97,192.168.1.221,443,55638,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55638,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55638,443,TCP,54,DDOS_OR_BRUTE_FORCE
20.189.173.8,192.168.1.221,443,55640,TCP,1506,MALFORMED_PACKET
20.189.173.8,192.168.1.221,443,55640,TCP,1506,MALFORMED_PACKET
20.189.173.8,192.168.1.221,443,55640,TCP,1506,MALFORMED_PACKET
20.189.173.8,192.168.1.221,443,55640,TCP,1506,MALFORMED_PACKET
20.189.173.8,192.168.1.221,443,55640,TCP,649,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,134,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,1207,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,752,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,66,DDOS_OR_BRUTE_FORCE
20.189.173.8,192.168.1.221,443,55640,TCP,157,NORMAL
192.168.1.221,20.189.173.8,55640,443,TCP,54,PORT_SCAN
20.189.173.8,192.168.1.221,443,55640,TCP,54,DDOS_OR_BRUTE_FORCE
20.189.173.8,192.168.1.221,443,55640,TCP,499,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55641,TCP,66,NORMAL
192.168.1.221,52.167.17.97,55641,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,268,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55641,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55641,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55641,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55641,443,TCP,212,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55641,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55641,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55641,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,968,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,92,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55641,TCP,92,NORMAL
52.167.17.97,192.168.1.221,443,55641,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,54,PORT_SCAN
52.167.17.97,192.168.1.221,443,55641,TCP,1217,NORMAL
192.168.1.221,52.167.17.97,55641,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55642,443,TCP,66,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55641,TCP,96,NORMAL
52.167.17.97,192.168.1.221,443,55641,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55641,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55641,443,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,268,DDOS_OR_BRUTE_FORCE
192.168.1.221,20.189.173.8,55640,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.123.128.14,55639,443,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55642,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55642,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55642,443,TCP,212,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55642,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55642,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,274,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,92,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,54,NORMAL
52.167.17.97,192.168.1.221,443,55642,TCP,92,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55642,443,TCP,54,PORT_SCAN
52.167.17.97,192.168.1.221,443,55642,TCP,409,NORMAL
192.168.1.221,52.167.17.97,55642,443,TCP,54,PORT_SCAN
192.168.1.163,192.168.1.221,8009,55440,TCP,168,NORMAL
192.168.1.221,192.168.1.163,55440,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55443,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55443,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55440,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55443,8009,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55642,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55642,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,2.22.41.129,55570,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,142.250.74.67,55569,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,23.210.163.238,55567,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,17.253.18.199,55571,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,2.16.154.153,55568,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,2.22.41.56,55566,80,TCP,54,DDOS_OR_BRUTE_FORCE
2.16.154.153,192.168.1.221,80,55568,TCP,54,NORMAL
192.168.1.221,2.16.154.153,55568,80,TCP,54,DDOS_OR_BRUTE_FORCE
2.22.41.56,192.168.1.221,80,55566,TCP,54,NORMAL
192.168.1.221,2.22.41.56,55566,80,TCP,54,DDOS_OR_BRUTE_FORCE
2.22.41.129,192.168.1.221,80,55570,TCP,54,NORMAL
192.168.1.221,2.22.41.129,55570,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,13.70.79.200,55599,443,TCP,139,DDOS_OR_BRUTE_FORCE
192.168.1.221,13.70.79.200,55599,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,13.70.79.200,55599,443,TCP,162,DDOS_OR_BRUTE_FORCE
142.250.74.67,192.168.1.221,80,55569,TCP,54,NORMAL
192.168.1.221,142.250.74.67,55569,80,TCP,54,DDOS_OR_BRUTE_FORCE
23.210.163.238,192.168.1.221,80,55567,TCP,54,NORMAL
192.168.1.221,23.210.163.238,55567,80,TCP,54,DDOS_OR_BRUTE_FORCE
